epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,34166.3,1.14989,1.36149,1.36922,0.75904,0.71432,0.79327,0.60389,0.83747,0.86851,1.15538,0.000390781,0.000390781,0.000390781
83,34581.4,1.12458,1.33597,1.35656,0.75819,0.73563,0.80428,0.61015,0.85153,0.85349,1.15554,0.000386306,0.000386306,0.000386306
84,34997.1,1.11878,1.32143,1.34704,0.76389,0.73515,0.80953,0.60598,0.89129,0.84176,1.1753,0.000381811,0.000381811,0.000381811
85,35413.6,1.13143,1.32613,1.35656,0.77215,0.75372,0.82287,0.62705,0.85911,0.81619,1.15541,0.000377296,0.000377296,0.000377296
86,35833.2,1.13541,1.31624,1.35195,0.77431,0.74217,0.82334,0.62249,0.85821,0.82255,1.15365,0.000372763,0.000372763,0.000372763
87,36248.1,1.12122,1.28604,1.34835,0.79361,0.75348,0.83987,0.63849,0.85251,0.78211,1.15404,0.000368213,0.000368213,0.000368213
88,36663.5,1.11105,1.28583,1.3415,0.78841,0.76277,0.83432,0.6239,0.89671,0.80624,1.18119,0.000363647,0.000363647,0.000363647
89,37080.5,1.11398,1.27285,1.33457,0.79333,0.76741,0.84519,0.63574,0.89321,0.77399,1.17386,0.000359066,0.000359066,0.000359066
90,37492.7,1.10418,1.26021,1.33591,0.78233,0.7564,0.83606,0.62523,0.90933,0.78857,1.19019,0.000354472,0.000354472,0.000354472
91,37908.8,1.10839,1.26815,1.34162,0.78628,0.78288,0.85247,0.64893,0.87089,0.73918,1.16164,0.000349865,0.000349865,0.000349865
92,38327.4,1.09969,1.26112,1.32924,0.79631,0.78646,0.86001,0.65906,0.83824,0.73047,1.14366,0.000345246,0.000345246,0.000345246
93,38742.7,1.08438,1.23772,1.32561,0.80883,0.77741,0.85334,0.64698,0.87481,0.75173,1.16472,0.000340617,0.000340617,0.000340617
94,490.485,1.13268,1.2386,1.37158,0.80635,0.78372,0.86128,0.64363,0.93301,0.73306,1.19199,0.000335979,0.000335979,0.000335979
95,975.565,1.11882,1.20045,1.35618,0.82355,0.77776,0.86206,0.65902,0.86852,0.72534,1.15978,0.000331332,0.000331332,0.000331332
96,1461.93,1.09561,1.1959,1.34622,0.82573,0.79639,0.87986,0.68039,0.8289,0.68312,1.13107,0.000326679,0.000326679,0.000326679
97,1952.7,1.11224,1.1977,1.35536,0.81876,0.79642,0.87452,0.67672,0.82709,0.6956,1.13151,0.00032202,0.00032202,0.00032202
98,2432.19,1.10073,1.20193,1.34785,0.82836,0.80169,0.8814,0.67445,0.86519,0.67958,1.15088,0.000317357,0.000317357,0.000317357
99,2899.25,1.08211,1.16829,1.33086,0.84207,0.80086,0.88688,0.67755,0.87288,0.67345,1.15567,0.00031269,0.00031269,0.00031269
100,3355.54,1.08873,1.18547,1.33469,0.84152,0.7955,0.88363,0.6815,0.8388,0.67273,1.13792,0.00030802,0.00030802,0.00030802
101,3836.95,1.06878,1.16692,1.32489,0.83904,0.82835,0.90174,0.70122,0.82997,0.6223,1.12462,0.00030335,0.00030335,0.00030335
